ID,# pos actors,# neg actors,# actors,# pos genres,# neg_genres,# genres,# pos movies,# neg movies,# movies,# pos keywords,# neg keywords,# keywords
227l5j,0,0,0,0,0,0,2,1,3,2,1,3
22818f,0,0,0,0,0,0,3,1,4,2,1,3
22c8ju,0,0,0,1,0,1,3,1,4,1,1,2
22gefd,1,1,2,1,0,1,1,1,2,12,1,13
22i0t7,0,0,0,0,0,0,1,1,2,1,1,2
22uw5w,0,0,0,2,0,2,2,1,3,1,2,3
22wqc0,0,0,0,0,0,0,1,1,2,1,1,2
22xxkw,0,0,0,0,0,0,4,1,5,2,1,3
238lih,0,0,0,0,0,0,2,1,3,6,1,7
23drf3,0,0,0,0,0,0,1,1,2,2,1,3
23l6gq,0,0,0,2,2,4,5,1,6,2,3,5
23t3zj,1,0,1,0,0,0,2,1,3,3,1,4
23tplr,0,0,0,0,0,0,1,1,2,4,1,5
2404a0,1,0,1,0,0,0,1,1,2,2,1,3
241af4,0,0,0,0,0,0,2,6,8,1,1,2
242xys,0,0,0,0,0,0,2,1,3,1,1,2
243qai,0,0,0,1,1,2,1,1,2,3,1,4
245dsu,0,0,0,0,0,0,2,1,3,1,1,2
246mzc,0,0,0,0,0,0,1,1,2,1,1,2
24axvp,0,0,0,0,0,0,3,1,4,1,1,2
24czse,0,0,0,1,0,1,1,1,2,1,1,2
24djgo,0,0,0,0,0,0,3,1,4,2,1,3
24ijsh,0,0,0,0,0,0,3,1,4,1,1,2
24s210,0,0,0,0,0,0,3,1,4,1,1,2
24stlu,0,0,0,0,0,0,3,1,4,1,1,2
24ul7z,0,0,0,0,0,0,1,1,2,1,1,2
24w9dq,0,0,0,1,0,1,6,1,7,5,1,6
24ws2c,0,0,0,1,0,1,7,1,8,4,3,7
24y290,0,0,0,2,0,2,11,1,12,2,1,3
24y4j9,0,0,0,0,0,0,2,1,3,3,1,4
24zcvv,0,0,0,0,0,0,2,1,3,2,1,3
25367t,0,0,0,0,0,0,8,1,9,3,1,4
2545dm,0,0,0,0,0,0,1,1,2,4,2,6
25b68y,0,0,0,1,0,1,3,1,4,4,1,5
25bvbn,0,0,0,0,0,0,3,1,4,6,1,7
25g2lc,0,0,0,0,0,0,3,1,4,5,1,6
25ljcu,0,0,0,1,0,1,1,1,2,1,1,2
267ou4,0,0,0,0,0,0,2,1,3,8,1,9
269a34,0,0,0,0,0,0,12,1,13,1,1,2
26cefi,0,0,0,0,0,0,1,1,2,4,1,5
26h0ib,0,0,0,1,0,1,4,1,5,3,1,4
26hokc,0,0,0,4,1,5,3,1,4,5,3,8
26ogr0,0,0,0,0,0,0,4,1,5,3,1,4
26q7jz,0,0,0,1,0,1,2,1,3,1,2,3
26vn1r,0,0,0,0,0,0,3,1,4,7,1,8
26zpxj,0,0,0,0,0,0,1,1,2,2,1,3
27i1c3,0,0,0,0,0,0,1,1,2,6,1,7
27qkxj,0,0,0,1,0,1,4,1,5,2,1,3
27s7sv,0,0,0,0,0,0,2,1,3,1,1,2
27xbcb,0,0,0,1,0,1,1,1,2,1,1,2
2861ny,1,0,1,1,0,1,1,1,2,5,1,6
28e13j,0,0,0,0,0,0,3,1,4,3,1,4
28hklv,0,0,0,0,0,0,4,1,5,2,1,3
28qtyn,0,0,0,0,0,0,2,1,3,2,1,3
28r7p2,0,0,0,0,0,0,3,1,4,3,1,4
28wyvt,0,0,0,0,0,0,1,1,2,1,1,2
28xrif,0,0,0,0,0,0,3,1,4,6,1,7
28z5ir,0,0,0,0,0,0,2,1,3,7,1,8
28zlb2,0,0,0,0,0,0,5,1,6,1,1,2
293ots,0,0,0,0,0,0,1,1,2,5,1,6
2985ag,1,0,1,0,0,0,1,1,2,2,1,3
29d2pf,1,0,1,1,0,1,4,1,5,2,1,3
29dado,0,0,0,0,0,0,3,1,4,5,1,6
29egd8,0,0,0,0,0,0,2,1,3,2,1,3
29f274,0,0,0,0,0,0,5,1,6,3,1,4
29i6fa,0,0,0,0,0,0,2,1,3,1,1,2
2a1oos,1,0,1,0,0,0,1,1,2,2,1,3
2a6b1t,0,0,0,0,0,0,5,1,6,1,1,2
2a7786,0,0,0,0,0,0,2,1,3,1,1,2
2aakn5,0,0,0,0,0,0,5,1,6,4,1,5
2act5h,0,0,0,1,0,1,19,1,20,1,1,2
2aejm3,0,0,0,0,0,0,2,1,3,1,1,2
2ajfnd,0,0,0,0,0,0,6,1,7,3,1,4
2amd7m,0,0,0,0,0,0,5,1,6,1,1,2
2awjrv,0,0,0,2,0,2,4,1,5,2,1,3
2awlgb,0,0,0,0,0,0,3,1,4,1,1,2
2azaxh,0,0,0,1,0,1,3,1,4,8,2,10
2b5j7c,0,0,0,1,0,1,3,1,4,1,1,2
2baugq,0,0,0,0,0,0,3,1,4,2,1,3
2bcd7l,1,0,1,0,0,0,3,1,4,1,1,2
2bo1zs,0,0,0,2,0,2,8,1,9,3,1,4
2bpl7n,0,0,0,2,0,2,5,1,6,3,3,6
2brtfi,0,0,0,1,0,1,2,1,3,3,1,4
2bv3x0,0,0,0,1,0,1,4,1,5,1,1,2
2bz0d1,0,0,0,0,0,0,23,1,24,2,1,3
2c9288,0,0,0,0,0,0,1,1,2,4,1,5
2ccwy7,1,0,1,0,0,0,1,1,2,2,1,3
2cf3iv,0,0,0,0,0,0,1,1,2,1,1,2
2cidxr,0,0,0,0,0,0,2,1,3,1,1,2
2civ17,0,0,0,1,0,1,6,1,7,9,1,10
2cjh1r,0,0,0,0,0,0,2,1,3,2,1,3
2csfi8,0,0,0,0,0,0,5,1,6,5,1,6
2cwbz0,0,0,0,1,0,1,5,1,6,1,1,2
2cxr2b,0,0,0,0,0,0,5,1,6,1,1,2
2d0ayq,0,0,0,0,0,0,2,1,3,2,1,3
2d2dgd,0,0,0,0,0,0,3,1,4,4,1,5
2ds713,0,0,0,0,0,0,2,1,3,1,1,2
2dt7k4,0,0,0,0,0,0,4,1,5,8,1,9
2e15ar,0,0,0,0,0,0,7,1,8,2,1,3
2e3k38,0,0,0,0,0,0,2,1,3,2,1,3
2e63v8,0,0,0,0,0,0,3,1,4,4,1,5
2edvf3,0,0,0,1,0,1,1,1,2,5,1,6
2efh51,0,0,0,0,0,0,2,1,3,4,1,5
2en6h6,0,0,0,0,0,0,4,1,5,1,1,2
2eo3nh,0,0,0,0,0,0,2,1,3,3,1,4
2errcd,0,0,0,0,0,0,1,1,2,2,1,3
2exezb,0,0,0,0,1,1,1,1,2,1,1,2
2eyc05,0,0,0,0,0,0,2,1,3,2,1,3
